"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol198","RCCD1",91433,"RCCD1","ENSG00000166965"
"gene_symbol199","USP17L2",377630,"USP17L2","ENSG00000223443"
"gene_symbol200","OR2A2",442361,"OR2A2","ENSG00000221989"
"gene_symbol201","TMEM87A",25963,"TMEM87A","ENSG00000103978"
"gene_symbol202","GNPAT",8443,"GNPAT","ENSG00000116906"
"gene_symbol203","TBRG1",84897,"TBRG1","ENSG00000154144"
"gene_symbol204","PCSK4",54760,"PCSK4","ENSG00000115257"
"gene_symbol205","MIR6727",102465435,"MIR6727","ENSG00000283712"
"gene_symbol206","TP53BP1",7158,"TP53BP1","ENSG00000067369"
"gene_symbol207","TEX52",101929469,"TEX52","ENSG00000283297"
"gene_symbol208","CHRM3-AS2",100506915,"CHRM3-AS2","ENSG00000233355"
"gene_symbol209","MRPL16",54948,"MRPL16","ENSG00000166902"
"gene_symbol210","OIP5-AS1",729082,"OIP5-AS1","ENSG00000247556"
"gene_symbol211","SERPINA11",256394,"SERPINA11","ENSG00000186910"
"gene_symbol212","DOK1",1796,"DOK1","ENSG00000115325"
"gene_symbol213","OCSTAMP",128506,"OCSTAMP","ENSG00000149635"
"gene_symbol214","LNX1",84708,"LNX1","ENSG00000072201"
"gene_symbol215","WTAP",9589,"WTAP","ENSG00000146457"
"gene_symbol216","STON2",85439,"STON2","ENSG00000140022"
"gene_symbol217","DEFA10P",449493,"DEFA10P","ENSG00000285475"
"gene_symbol218","MIR6829",102465977,"MIR6829","ENSG00000276489"
"gene_symbol219","ZSCAN16",80345,"ZSCAN16","ENSG00000196812"
"gene_symbol220","RAET1E-AS1",100652739,"RAET1E-AS1","ENSG00000223701"
"gene_symbol221","TMEM247",388946,"TMEM247","ENSG00000284701"
"gene_symbol222","CA7",766,"CA7","ENSG00000168748"
"gene_symbol223","GLRB",2743,"GLRB","ENSG00000109738"
"gene_symbol224","TRMT11",60487,"TRMT11","ENSG00000066651"
"gene_symbol225","ALDH1A3",220,"ALDH1A3","ENSG00000184254"
"gene_symbol226","VEZF1",7716,"VEZF1","ENSG00000136451"
"gene_symbol227","PCBP1",5093,"PCBP1","ENSG00000169564"
"gene_symbol228","DNAJA2",10294,"DNAJA2","ENSG00000069345"
"gene_symbol229","OSTCP1",202459,"OSTCP1","ENSG00000243775"
"gene_symbol230","FAM214B",80256,"FAM214B","ENSG00000005238"
"gene_symbol231","LARGE-AS1",100506195,"LARGE-AS1","ENSG00000224973"
"gene_symbol232","SPATA25",128497,"SPATA25","ENSG00000149634"
"gene_symbol233","TBCEL",219899,"TBCEL","ENSG00000154114"
"gene_symbol234","SMCO1",255798,"SMCO1","ENSG00000214097"
"gene_symbol235","PCDHB10",56126,"PCDHB10","ENSG00000120324"
"gene_symbol236","KIF9",64147,"KIF9","ENSG00000088727"
"gene_symbol237","FOXJ3",22887,"FOXJ3","ENSG00000198815"
"gene_symbol238","NME9",347736,"NME9","ENSG00000181322"
"gene_symbol239","PPP1R9A",55607,"PPP1R9A","ENSG00000158528"
"gene_symbol240","ERICH4",100170765,"ERICH4","ENSG00000204978"
"gene_symbol241","CHM",1121,"CHM","ENSG00000188419"
"gene_symbol242","TRAPPC12",51112,"TRAPPC12","ENSG00000171853"
"gene_symbol243","AC116351.1",100506688,"LINC02982","ENSG00000215246"
"gene_symbol244","MIR29B1",407024,"MIR29B1","ENSG00000283797"
"gene_symbol245","VWA5B1",127731,"VWA5B1","ENSG00000158816"
"gene_symbol246","CDKN1B",1027,"CDKN1B","ENSG00000111276"
"gene_symbol247","GPAT4",137964,"GPAT4","ENSG00000158669"
"gene_symbol248","TINF2",26277,"TINF2","ENSG00000092330"
"gene_symbol249","MIR3666",100500896,"MIR3666","ENSG00000272230"
"gene_symbol250","MPC1",51660,"MPC1","ENSG00000060762"
"gene_symbol251","CDC25A",993,"CDC25A","ENSG00000164045"
"gene_symbol252","PRAMEF20",645425,"PRAMEF20","ENSG00000204478"
"gene_symbol253","ADCY5",111,"ADCY5","ENSG00000173175"
"gene_symbol254","RPL13AP20",387841,"RPL13AP20","ENSG00000234498"
"gene_symbol255","SOAT1",6646,"SOAT1","ENSG00000057252"
"gene_symbol256","MIR4458HG",100505738,"MIR4458HG","ENSG00000247516"
"gene_symbol257","MRFAP1L1",114932,"MRFAP1L1","ENSG00000178988"
