"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene18027","C8orf74","203076","C8orf74","ENSG00000171060"
"gene18028","SOX7","83595","SOX7","ENSG00000171056"
"gene18029","LOC101929229","","",""
"gene18030","LOC101929269","101929269","LOC101929269","ENSG00000254839"
"gene18031","XKR6","286046","XKR6","ENSG00000171044"
"gene18032","MTMR9","66036","MTMR9","ENSG00000104643"
"gene18033","SLC35G5","83650","SLC35G5","ENSG00000177710"
"gene18034","FAM167A-AS1","83656","FAM167A-AS1","ENSG00000184608"
"gene18035","FAM167A","83648","FAM167A","ENSG00000154319"
"gene18036","LINC00208","83655","LINC00208","ENSG00000170983"
"gene18037","GATA4","2626","GATA4","ENSG00000136574"
"gene18038","GATA4","2626","GATA4","ENSG00000136574"
"gene18039","SNORA99","106635531","SNORA99",""
"gene18040","GATA4","2626","GATA4","ENSG00000136574"
"gene18041","NEIL2","252969","NEIL2","ENSG00000154328"
"gene18042","FDFT1","2222","FDFT1","ENSG00000079459"
"gene18043","FDFT1","2222","FDFT1","ENSG00000079459"
"gene18044","FDFT1","2222","FDFT1","ENSG00000079459"
"gene18045","FDFT1","2222","FDFT1","ENSG00000079459"
"gene18046","FDFT1","2222","FDFT1","ENSG00000079459"
"gene18047","CTSB","1508","CTSB","ENSG00000164733"
"gene18048","LOC649352","649352","LOC649352",""
"gene18049","LOC729732","729732","LOC729732","ENSG00000283674"
"gene18050","LONRF1","91694","LONRF1","ENSG00000154359"
"gene18051","DLC1","10395","DLC1","ENSG00000164741"
"gene18052","DLC1","10395","DLC1","ENSG00000164741"
"gene18053","C8orf48","157773","C8orf48","ENSG00000164743"
"gene18054","TUSC3","7991","TUSC3","ENSG00000104723"
"gene18055","FGF20","26281","FGF20","ENSG00000078579"
"gene18056","MICU3","286097","MICU3","ENSG00000155970"
"gene18057","ZDHHC2","51201","ZDHHC2","ENSG00000104219"
"gene18058","CNOT7","29883","CNOT7","ENSG00000198791"
"gene18059","CNOT7","29883","CNOT7","ENSG00000198791"
"gene18060","CNOT7","29883","CNOT7","ENSG00000198791"
"gene18061","MTMR7","9108","MTMR7","ENSG00000003987"
"gene18062","SLC7A2","6542","SLC7A2","ENSG00000003989"
"gene18063","MTUS1","57509","MTUS1","ENSG00000129422"
"gene18064","PCM1","5108","PCM1","ENSG00000078674"
"gene18065","LOC101929066","","",""
"gene18066","ASAH1","427","ASAH1","ENSG00000104763"
"gene18067","NAT1","9","NAT1","ENSG00000171428"
"gene18068","PSD3","23362","PSD3","ENSG00000156011"
"gene18069","SH2D4A","63898","SH2D4A","ENSG00000104611"
"gene18070","SH2D4A","63898","SH2D4A","ENSG00000104611"
"gene18071","CSGALNACT1","55790","CSGALNACT1","ENSG00000147408"
"gene18072","CSGALNACT1","55790","CSGALNACT1","ENSG00000147408"
"gene18073","INTS10","55174","INTS10","ENSG00000104613"
"gene18074","ATP6V1B2","526","ATP6V1B2","ENSG00000147416"
"gene18075","LZTS1","11178","LZTS1","ENSG00000061337"
"gene18076","LZTS1-AS1","100874051","LZTS1-AS1","ENSG00000253733"
"gene18077","XPO7","23039","XPO7","ENSG00000130227"
"gene18078","NPM2","10361","NPM2","ENSG00000158806"
"gene18079","FGF17","8822","FGF17","ENSG00000158815"
"gene18080","DMTN","2039","DMTN","ENSG00000158856"
"gene18081","DMTN","2039","DMTN","ENSG00000158856"
"gene18082","DMTN","2039","DMTN","ENSG00000158856"
"gene18083","DMTN","2039","DMTN","ENSG00000158856"
"gene18084","DMTN","2039","DMTN","ENSG00000158856"
"gene18085","FAM160B2","64760","FHIP2B","ENSG00000158863"
