,gene_symbol,entrenz_id
653,FYN,2534
654,MADCAM1,8174
655,RNGTT,8732
656,TOM1L2,146691
657,PDCL,5082
658,MIR7844,102465834
659,HPS1,3257
660,DHX30,22907
661,TIMM23,100287932
662,MMP19,4327
663,OR12D2,26529
664,ACADM,34
665,EDRF1-DT,399821
666,RNF220,55182
667,LINC01572,101927957
668,MAN1A2,10905
669,ACTG1P25,148709
670,SMCR5,140771
671,UBE2F,140739
672,RAB20,55647
673,ARL13B,200894
674,MMP9,4318
675,ZNF879,345462
676,KCNMB2,10242
677,PHRF1,57661
678,ADCK1,57143
679,GPD2,2820
680,MIR1276,100302121
681,CCDC69,26112
682,CAPN9,10753
683,ICE1,23379
684,OAS1,4938
685,RNPC3,55599
686,MIR3200,100422912
687,HMHB1,57824
688,FAM131A,131408
689,HIPK1,204851
690,TMCO3,55002
691,CLDN14,23562
692,NKX3-2,579
693,DIPK2B,79742
694,SLC16A3,9123
695,AL807761.4,340512
696,BX322639.1,441666
697,GTF2IRD2,84163
698,RRH,10692
699,MIR3201,100422916
700,LINC02217,101929544
701,API5,8539
702,TPH2,121278
703,WAC,51322
704,KIF24,347240
705,KLHL18,23276
706,ADM5,199800
707,ZNF696,79943
708,DSG4,147409
709,LONP1,9361
710,CNTN3,5067
711,OR1S2,219958
712,RNA5S14,100169765
713,OR2M2,391194
714,FAAP20,199990
715,CILP2,148113
716,MS4A3,932
717,ZNF140,7699
718,SLX1B-SULT1A4,100526831
719,PGAM4,441531
720,ZFP69,339559
721,SRM,6723
722,MIR6782,102465469
723,PTP4A3,11156
724,INSM2,84684
725,RAD21L1,642636
726,BTNL2,56244
727,ZNF675,171392
728,SAP30-DT,105377540
729,FCGR3A,2214
730,SPANXC,64663
731,MFSD10,10227
732,AP1M2,10053
733,MAFB,9935
734,AL161630.1,101928797
735,LINC01197,400456
736,AC008969.1,100128398
737,LINC01634,100192420
738,MFSD14C,84278
739,RXYLT1,10329
740,SLC22A25,387601
741,MIR210,406992
742,DTD1,92675
743,PRTN3,5657
744,MIA,8190
745,SUMO1,7341
746,AC009060.1,400541
747,LINC01535,101927667
748,FKBPL,63943
749,SDC2,6383
750,CACNA1S,779
751,TUBB3,10381
752,RCVRN,5957
753,LRSAM1,90678
754,MS4A2,2206
755,UBE2E1,7324
756,PNLIP,5406
757,MOCS1,4337
758,DEPP1,11067
759,CCDC77,84318
760,RERE,473
761,PTTG1,9232
762,TIMM10B,26515
763,CTRB2,440387
764,LMLN2,100128908
765,FABP5,2171
766,TRIM46,80128
767,TWNK,56652
768,ANKRD18DP,348840
769,MIR3938,100500875
770,LINC00271,100131814
771,CCDC125,202243
772,MIR6818,102466742
773,ADCY3,109
774,AKAP1,8165
775,NEMP2,100131211
776,ORMDL3,94103
777,ACTR2,10097
778,OR1F12,442179
779,LINC02817,400804
780,TTC23L,153657
781,CLSTN3,9746
782,MRPL55,128308
783,TMEM117,84216
