"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol37282","AC121757.2","ENSG00000287051","",""
"gene_symbol37283","SNRPCP16","ENSG00000250342","106480291","SNRPCP16"
"gene_symbol37284","AC091953.1","ENSG00000249782","105374647","LOC105374647"
"gene_symbol37285","AC016687.1","ENSG00000239983","727792","RPL31P31"
"gene_symbol37286","CACNA1F","ENSG00000102001","778","CACNA1F"
"gene_symbol37287","CMTM4","ENSG00000183723","146223","CMTM4"
"gene_symbol37288","IGLV2-11","ENSG00000211668","28816","IGLV2-11"
"gene_symbol37289","AL157394.3","ENSG00000286116","",""
"gene_symbol37290","AL009183.1","ENSG00000270330","",""
"gene_symbol37291","AC005593.1","ENSG00000279584","",""
"gene_symbol37292","GCSHP3","ENSG00000237580","",""
"gene_symbol37293","AC109454.3","ENSG00000250564","102546229","LINC02999"
"gene_symbol37294","AC108134.1","ENSG00000205890","100128770","LOC100128770"
"gene_symbol37295","NUTF2P3","ENSG00000228248","",""
"gene_symbol37296","FAM162B","ENSG00000183807","221303","FAM162B"
"gene_symbol37297","SPACA9","ENSG00000165698","11092","SPACA9"
"gene_symbol37298","FAM214B","ENSG00000005238","80256","FAM214B"
"gene_symbol37299","OR4X1","ENSG00000176567","390113","OR4X1"
"gene_symbol37300","AC134682.1","ENSG00000261693","",""
"gene_symbol37301","PDCL3P5","ENSG00000213089","",""
"gene_symbol37302","TSC22D4","ENSG00000166925","81628","TSC22D4"
"gene_symbol37303","KIAA1614","ENSG00000135835","57710","KIAA1614"
"gene_symbol37304","ZNF528","ENSG00000167555","84436","ZNF528"
"gene_symbol37305","AC090409.1","ENSG00000267279","",""
"gene_symbol37306","AC004706.1","ENSG00000261996","",""
"gene_symbol37307","BPNT2","ENSG00000104331","54928","BPNT2"
"gene_symbol37308","PIWIL3","ENSG00000184571","440822","PIWIL3"
"gene_symbol37309","VDAC3P1","ENSG00000271198","",""
"gene_symbol37310","Z83818.2","ENSG00000282914","",""
"gene_symbol37311","AC000050.2","ENSG00000286508","",""
"gene_symbol37312","FAM223B","ENSG00000272681","286967","FAM223B"
"gene_symbol37313","USP17L4","ENSG00000236125","645402","USP17L4"
"gene_symbol37314","ABCB10P4","ENSG00000260053","100132289","ABCB10P4"
"gene_symbol37315","RPL12P19","ENSG00000226972","",""
"gene_symbol37316","FRMPD2","ENSG00000170324","143162","FRMPD2"
"gene_symbol37317","IPO13","ENSG00000117408","9670","IPO13"
"gene_symbol37318","OR2V1","ENSG00000185372","26693","OR2V1"
"gene_symbol37319","ASTN2","ENSG00000148219","23245","ASTN2"
"gene_symbol37320","Z97198.1","ENSG00000224000","",""
"gene_symbol37321","SULT1C4","ENSG00000198075","27233","SULT1C4"
"gene_symbol37322","LGR5","ENSG00000139292","8549","LGR5"
"gene_symbol37323","SPAG16","ENSG00000144451","79582","SPAG16"
